CustomerID,Lookalikes
C0001,"[('C0050', np.float64(0.51)), ('C0163', np.float64(0.48)), ('C0140', np.float64(0.43))]"
C0002,"[('C0030', np.float64(0.74)), ('C0091', np.float64(0.46)), ('C0173', np.float64(0.41))]"
C0003,"[('C0164', np.float64(0.63)), ('C0144', np.float64(0.57)), ('C0134', np.float64(0.54))]"
C0004,"[('C0133', np.float64(0.44)), ('C0065', np.float64(0.36)), ('C0070', np.float64(0.33))]"
C0005,"[('C0023', np.float64(0.56)), ('C0096', np.float64(0.45)), ('C0119', np.float64(0.43))]"
C0006,"[('C0178', np.float64(0.45)), ('C0040', np.float64(0.43)), ('C0026', np.float64(0.4))]"
C0007,"[('C0025', np.float64(0.73)), ('C0079', np.float64(0.48)), ('C0020', np.float64(0.43))]"
C0008,"[('C0165', np.float64(0.38)), ('C0144', np.float64(0.38)), ('C0169', np.float64(0.35))]"
C0009,"[('C0058', np.float64(0.54)), ('C0097', np.float64(0.49)), ('C0140', np.float64(0.47))]"
C0010,"[('C0013', np.float64(0.56)), ('C0092', np.float64(0.5)), ('C0029', np.float64(0.43))]"
C0011,"[('C0107', np.float64(0.52)), ('C0120', np.float64(0.45)), ('C0135', np.float64(0.42))]"
C0012,"[('C0066', np.float64(0.51)), ('C0101', np.float64(0.45)), ('C0168', np.float64(0.4))]"
C0013,"[('C0010', np.float64(0.56)), ('C0067', np.float64(0.44)), ('C0112', np.float64(0.41))]"
C0014,"[('C0128', np.float64(0.94)), ('C0159', np.float64(0.71)), ('C0058', np.float64(0.43))]"
C0015,"[('C0060', np.float64(0.93)), ('C0062', np.float64(0.73)), ('C0073', np.float64(0.67))]"
C0016,"[('C0196', np.float64(0.86)), ('C0052', np.float64(0.79)), ('C0187', np.float64(0.7))]"
C0017,"[('C0037', np.float64(0.5)), ('C0071', np.float64(0.48)), ('C0024', np.float64(0.43))]"
C0018,"[('C0177', np.float64(0.61)), ('C0049', np.float64(0.45)), ('C0081', np.float64(0.38))]"
C0019,"[('C0024', np.float64(0.49)), ('C0020', np.float64(0.33)), ('C0017', np.float64(0.33))]"
C0020,"[('C0026', np.float64(0.59)), ('C0050', np.float64(0.49)), ('C0058', np.float64(0.43))]"
